,Unnamed: 0,Text,Likes,Retweets,Date-Time,Date,daily fluc
323,323,"Today's Supreme Court decision is an important milestone in the hard-fought journey for equal treatment for LGBTQI+ people in the workplace, building on the foundation set by the Civil Rights Act of 1964. Let’s use this decision as a catalyst to drive progress in our society.",3956,574,2020-06-15 20:10:34+00:00,2020-06-15,3.257491798073797
339,339,"RT @jennylayfluffy: Time flies! Today marks the 10th anniversary of #AbilitySummit and our first virtual, open to public event. 

This year…",0,60,2020-05-27 19:44:02+00:00,2020-05-27,-2.451040467390131
354,354,"Today, we announced a $1 billion investment in Poland over the next 7 years – including a new datacenter region – to accelerate the country’s growth. https://t.co/ugIbsesFIu",2419,461,2020-05-05 17:35:13+00:00,2020-05-05,3.047049939716917
355,355,What a powerful story of a Microsoft colleague who connected her personal experience with her work and used the company as a platform to make a difference. https://t.co/sSL1o3U6as,691,117,2020-05-04 23:57:16+00:00,2020-05-04,3.047049939716917
356,356,"We’re introducing new capabilities to help 1 billion people using Windows 10 work, learn and play. https://t.co/GMFy95aL7p",600,118,2020-05-04 19:48:00+00:00,2020-05-04,3.047049939716917
357,357,It has never been more important to come together and support those who are most vulnerable. We're offering two fantastic experiences as part of the #AllInChallenge. Learn more at https://t.co/F5kics9Vve https://t.co/f41UNdl6KI,1923,446,2020-05-04 17:00:43+00:00,2020-05-04,3.047049939716917
358,358,"@JulieSweet Thanks Julie, for the partnership and for all the work you’re doing to support customers across industries during this time.",192,7,2020-05-04 04:10:11+00:00,2020-05-04,3.047049939716917
366,366,RT @katebehncken: The work of non-profits around the world has never been more important. Microsoft Philanthropies is committed to empoweri…,0,37,2020-04-21 17:11:20+00:00,2020-04-21,-3.9464050870324674
367,367,Inspiring to see the creativity of educators working to keep students connected and engaged in new ways. https://t.co/BVuSGoNPG5,571,121,2020-04-21 00:53:21+00:00,2020-04-21,-3.9464050870324674
368,368,"Together with @UNICEF, we’re launching a digital learning platform to support children and youth around the world who are studying remotely. https://t.co/TbdFKYGCft",1413,356,2020-04-20 17:58:34+00:00,2020-04-20,-3.9464050870324674
371,371,RT @TomBurt45: Cyberattacks are targeting healthcare and human rights workers fighting COVID-19.   To help protect them during this time of…,0,100,2020-04-14 19:35:37+00:00,2020-04-14,4.233396036088122
372,372,"Amidst the uncertainty of these extraordinary times, we’re seeing organizations around the world adapt and innovate. We’re proud to support them, providing the platforms and tools to help teams work together, even while working apart. https://t.co/Wb3aKUIy8h",915,193,2020-04-14 13:31:16+00:00,2020-04-14,4.233396036088122
373,373,Nonprofits are working tirelessly to combat COVID-19. We're providing technology like Azure to critical care and first response nonprofits to support them in helping those most in need. https://t.co/0X4aUtbA1f,724,172,2020-04-13 20:11:47+00:00,2020-04-13,4.233396036088122
378,378,"Together with BlackRock, we’re applying the power of Azure to deliver new capabilities for financial services customers and collaborating to improve access to sustainability data to help address one of our world’s most pressing challenges. https://t.co/eGC5JkVfGp",441,104,2020-04-07 23:04:52+00:00,2020-04-07,2.832635908940806
379,379,RT @MicrosoftEDU: Our congratulations and gratitude to this year’s graduating class of Newcastle University. Thank you for sharing this mom…,0,39,2020-04-06 22:28:47+00:00,2020-04-06,4.68712179156936
380,380,It’s great to see how the NBA and its players are bringing a new type of competition to fans with Xbox and Xbox Live. https://t.co/ceUOGzjgST,988,126,2020-04-04 01:55:39+00:00,2020-04-04,4.68712179156936
